% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 04:18"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2685.987047999999,48.32836826999994,2685.987047999999,48.32836826999994
10,0,0,1655.163401257642,38.890210481950135,2682.1411028267225,48.32931192863873
20,0,0,1628.2881928482407,38.8890541932916,2678.2930675350503,48.32856503707694
30,0,0,1628.0044094800598,38.88901319397513,2674.4429587064587,48.3271188073378
40,0,0,1628.0019307256673,38.888971176277835,2670.5907573051827,48.327593554330406
50,0,0,1628.001904685662,38.88902470116744,2666.7364366721645,48.3281256939722
60,0,0,1628.0019512771999,38.8890110212742,2662.87999046367,48.32881477744172
70,0,0,1628.0019562352275,38.88900305705761,2659.02141827792,48.32853115845586
80,0,0,1628.0018309303161,38.88902916438292,2655.1607182962916,48.32832081845919
90,0,0,1627.9897989638798,38.88903584082186,2651.2978851115913,48.32779595071054
100,0,0,1627.23121062977,48.329999999999984,2647.4328900360165,48.329999999999984
