% Model,comsolvalidasi.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.3.1.201,,,,,,,,,,,,,,,
% Date,"May 6 2020, 09:08",,,,,,,,,,,,,,,
% Dimension,3,,,,,,,,,,,,,,,
% Nodes,5517,,,,,,,,,,,,,,,
% Expressions,14,,,,,,,,,,,,,,,
% Description,"Temperature, Pressure, Thermal conductivity, xx component, Heat capacity at constant pressure, Dynamic viscosity, Density, Mass flow",,,,,,,,,,,,,,,
% Length unit,m,,,,,,,,,,,,,,,
% X,Y,Z,T (degC) @ t=0,p (psi) @ t=0,ht.kxx (W/(m*K)) @ t=0,ht.Cp (J/(kg*K)) @ t=0,dl.mu (kg/(m*s)) @ t=0,dl.rho (kg/m^3) @ t=0,dl.pr1.Mflow (kg/s) @ t=0,T (degC) @ t=77,p (psi) @ t=77,ht.kxx (W/(m*K)) @ t=77,ht.Cp (J/(kg*K)) @ t=77,dl.mu (kg/(m*s)) @ t=77,dl.rho (kg/m^3) @ t=77,dl.pr1.Mflow (kg/s) @ t=77
993.804056,31.83536703,-6.539067698,38.889,1627.996614,0.049113528,2.337272968,1.72E-05,123.8301864,-13689.88059,38.889,2683.21294,0.040014973,2.590581965,2.38E-05,215.1235266,-0.189058827
1000,32.5,5.92E-14,38.889,1627.992967,0.04911356,2.337272093,1.72E-05,123.829871,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,25.80551334,-2.604331497,38.889,1627.992945,0.04911356,2.337272088,1.72E-05,123.829869,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,31.31028636,-8.712856367,38.889,1627.992941,0.04911356,2.337272087,1.72E-05,123.8298687,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-26.16375757,3.635418286,38.889,1627.992946,0.04911356,2.337272088,1.72E-05,123.8298691,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
993.8211994,-31.85796605,6.428063386,38.889,1627.99661,0.049113528,2.337272967,1.72E-05,123.8301861,-13689.88059,38.889,2683.212922,0.040014973,2.59058196,2.38E-05,215.123525,-0.189058827
1000,-32.5,6.72E-14,38.889,1627.992933,0.04911356,2.337272085,1.72E-05,123.8298679,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-31.31028636,8.712856367,38.889,1627.992937,0.04911356,2.337272086,1.72E-05,123.8298683,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,9.30609063,-23.58465135,38.889,1627.992947,0.04911356,2.337272088,1.72E-05,123.8298692,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,16.13551532,-28.21157061,38.889,1627.992952,0.04911356,2.337272089,1.72E-05,123.8298696,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,8.712856367,-31.31028636,38.889,1627.992944,0.04911356,2.337272087,1.72E-05,123.8298689,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
996.5726104,13.505985,-24.65342247,38.889,1627.99525,0.04911354,2.337272641,1.72E-05,123.8300685,-13689.88059,38.889,2683.209959,0.040014998,2.590581249,2.38E-05,215.1232687,-0.189058827
993.0888454,19.79143234,-25.77885191,38.889,1627.996901,0.049113526,2.337273037,1.72E-05,123.8302113,-13689.88059,38.889,2683.21371,0.040014966,2.590582149,2.38E-05,215.1235932,-0.189058827
1000,22.98097039,-22.98097039,38.889,1627.99295,0.04911356,2.337272089,1.72E-05,123.8298695,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-20.17763368,-14.11810606,38.889,1627.992945,0.04911356,2.337272088,1.72E-05,123.8298691,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-22.98097039,-22.98097039,38.889,1627.992951,0.04911356,2.337272089,1.72E-05,123.8298696,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-28.21157061,-16.13551532,38.889,1627.99295,0.04911356,2.337272089,1.72E-05,123.8298695,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.090544,-25.77749937,-19.79319393,38.889,1627.996903,0.049113526,2.337273038,1.72E-05,123.8302114,-13689.88059,38.889,2683.213708,0.040014966,2.590582149,2.38E-05,215.1235931,-0.189058827
1000,-15.85918636,-20.30536716,38.889,1627.992945,0.04911356,2.337272088,1.72E-05,123.829869,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-16.13551532,-28.21157061,38.889,1627.992949,0.04911356,2.337272089,1.72E-05,123.8298694,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.0702922,-19.84327597,-25.73896655,38.889,1627.996915,0.049113526,2.33727304,1.72E-05,123.8302125,-13689.88059,38.889,2683.21373,0.040014966,2.590582154,2.38E-05,215.1235949,-0.189058827
1000,-23.57221993,9.504782179,38.889,1627.992961,0.04911356,2.337272091,1.72E-05,123.8298704,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
993.1389905,-29.9287309,12.66969087,38.889,1627.996885,0.049113526,2.337273033,1.72E-05,123.8302099,-13689.88059,38.889,2683.213656,0.040014966,2.590582137,2.38E-05,215.1235885,-0.189058827
1000,-28.21157061,16.13551532,38.889,1627.992956,0.04911356,2.33727209,1.72E-05,123.82987,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
1000,-25.37093571,-2.855202751,38.889,1627.992963,0.04911356,2.337272092,1.72E-05,123.8298706,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
990.322216,-32.5,6.66E-14,38.889,1627.997819,0.049113518,2.337273258,1.72E-05,123.8302907,-13689.88059,38.889,2683.216689,0.04001494,2.590582865,2.38E-05,215.1238509,-0.189058827
1000,-9.410023631,-22.26967875,38.889,1627.992946,0.04911356,2.337272088,1.72E-05,123.8298691,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-3.243292205,-25.63759498,38.889,1627.992952,0.04911356,2.337272089,1.72E-05,123.8298696,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229494,-0.189058827
1000,-8.712856367,-31.31028636,38.889,1627.992938,0.04911356,2.337272086,1.72E-05,123.8298685,-13689.88059,38.889,2683.206269,0.04001503,2.590580363,2.38E-05,215.1229495,-0.189058827
993.8843014,-6.456346918,-31.85224614,38.889,1627.996582,0.049113529,2.337272961,1.72E-05,123.8301837,-13689.88059,38.889,2683.212854,0.040014973,2.590581944,2.38E-05,215.1235191,-0.189058827
