% Model,comsolvalidasi.mph,,,,,
% Version,COMSOL 5.3.1.201,,,,,
% Date,"May 6 2020, 09:09",,,,,
% Dimension,3,,,,,
% Nodes,1000,,,,,
% Expressions,4,,,,,
% Description,"Pressure, Temperature",,,,,
% Length unit,m,,,,,
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
50,-29.25,-29.25,NaN,NaN,NaN,NaN
50,-29.25,-22.75,NaN,NaN,NaN,NaN
50,-29.25,-16.25,NaN,NaN,NaN,NaN
50,-29.25,-9.75,1629.645518,38.88894252,2684.229037,38.94651955
50,-29.25,-3.25,1629.664891,38.88888731,2684.229037,39.00176608
50,-29.25,3.25,1629.656989,38.88891527,2684.229037,38.9993045
50,-29.25,9.75,1629.641338,38.88895747,2684.229037,38.94435906
50,-29.25,16.25,NaN,NaN,NaN,NaN
50,-29.25,22.75,NaN,NaN,NaN,NaN
50,-29.25,29.25,NaN,NaN,NaN,NaN
50,-22.75,-29.25,NaN,NaN,NaN,NaN
50,-22.75,-22.75,1629.624202,38.88898212,2684.229037,38.89933792
50,-22.75,-16.25,1629.645002,38.88874865,2684.229037,39.03891834
50,-22.75,-9.75,1629.656617,38.88936569,2684.229037,39.16185817
50,-22.75,-3.25,1629.646588,38.88903333,2684.229037,39.21228738
50,-22.75,3.25,1629.644938,38.88896313,2684.229037,39.20963746
50,-22.75,9.75,1629.652924,38.88903379,2684.229037,39.15496156
50,-22.75,16.25,1629.643499,38.88906973,2684.229037,39.04833037
50,-22.75,22.75,1629.607435,38.88901174,2684.229037,38.90361605
50,-22.75,29.25,NaN,NaN,NaN,NaN
50,-16.25,-29.25,NaN,NaN,NaN,NaN
50,-16.25,-22.75,1629.627219,38.88899955,2684.229037,39.03670554
50,-16.25,-16.25,1629.632651,38.88933305,2684.229037,39.21647091
50,-16.25,-9.75,1629.680543,38.88990878,2684.229037,39.33257246
50,-16.25,-3.25,1629.670771,38.88928734,2684.229037,39.39684014
50,-16.25,3.25,1629.662256,38.88899096,2684.229037,39.39467288
50,-16.25,9.75,1629.649775,38.889154,2684.229037,39.32444149
50,-16.25,16.25,1629.707578,38.88914061,2684.229037,39.22940158
50,-16.25,22.75,1629.650808,38.8890081,2684.229037,39.0539301
50,-16.25,29.25,NaN,NaN,NaN,NaN
50,-9.75,-29.25,1629.633803,38.88907587,2684.229037,38.95373073
50,-9.75,-22.75,1629.676965,38.88917041,2684.229037,39.15933739
50,-9.75,-16.25,1629.65326,38.88997576,2684.229037,39.34421761
50,-9.75,-9.75,1629.659053,38.88931736,2684.229037,39.46416978
50,-9.75,-3.25,1629.756655,38.88902701,2684.229037,39.54598797
50,-9.75,3.25,1629.6509,38.88856941,2684.229037,39.56177929
50,-9.75,9.75,1629.590448,38.8880636,2684.229037,39.48954611
50,-9.75,16.25,1629.643604,38.88918947,2684.229037,39.32159956
50,-9.75,22.75,1629.637151,38.88890102,2684.229037,39.14434312
50,-9.75,29.25,1629.639927,38.88896539,2684.229037,38.94085561
50,-3.25,-29.25,1629.656677,38.88903752,2684.229037,38.98558919
50,-3.25,-22.75,1629.664728,38.88915414,2684.229037,39.19321521
50,-3.25,-16.25,1629.640248,38.88939011,2684.229037,39.39112294
50,-3.25,-9.75,1629.635985,38.88774171,2684.229037,39.57603295
50,-3.25,-3.25,1629.610873,38.88836213,2684.229037,39.61495397
50,-3.25,3.25,1629.649891,38.88904642,2684.229037,39.64287185
50,-3.25,9.75,1629.64684,38.88887023,2684.229037,39.58355041
50,-3.25,16.25,1629.625327,38.88926143,2684.229037,39.40762252
50,-3.25,22.75,1629.638949,38.88920758,2684.229037,39.22903258
50,-3.25,29.25,1629.639639,38.8890034,2684.229037,38.9894575
50,3.25,-29.25,1629.641362,38.88894138,2684.229037,38.98238345
50,3.25,-22.75,1629.654704,38.88925949,2684.229037,39.22476101
50,3.25,-16.25,1629.650881,38.88863997,2684.229037,39.43961324
50,3.25,-9.75,1629.626487,38.88788588,2684.229037,39.57503368
50,3.25,-3.25,1629.600609,38.88807836,2684.229037,39.63433412
50,3.25,3.25,1629.62617,38.88878755,2684.229037,39.63568021
50,3.25,9.75,1629.640041,38.88890847,2684.229037,39.55633764
50,3.25,16.25,1629.630443,38.88912781,2684.229037,39.3881846
50,3.25,22.75,1629.640071,38.8888142,2684.229037,39.20063033
