% Model,comsolvalidasi.mph,,,,,
% Version,COMSOL 5.3.1.201,,,,,
% Date,"May 6 2020, 15:37",,,,,
% Dimension,3,,,,,
% Nodes,5517,,,,,
% Expressions,4,,,,,
% Description,"Pressure, Temperature",,,,,
% Length unit,m,,,,,
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
-1.99E-15,3.98E-15,32.5,2724.146943,42.1941975,2724.146943,42.1941975
-1.92E-15,-8.712856367,31.31028636,2724.146943,42.74506375,2724.146943,42.74506375
-1.92E-15,8.712856367,31.31028636,2724.146943,42.74506375,2724.146943,42.74506375
-1.73E-15,-16.13551532,28.21157061,2724.146943,42.74506375,2724.146943,42.74506375
-1.73E-15,16.13551532,28.21157061,2724.146943,42.74506375,2724.146943,42.74506375
-1.54E-15,3.566979479,25.19488936,2724.146943,46.6011275,2724.146943,46.6011275
-1.46E-15,-10.67201571,23.84270027,2724.146943,46.6011275,2724.146943,46.6011275
-1.45E-15,-3.850137488,23.73557903,2724.146943,46.6011275,2724.146943,46.6011275
-1.41E-15,-22.98097039,22.98097039,2724.146943,42.74506375,2724.146943,42.74506375
-1.41E-15,22.98097039,22.98097039,2724.146943,42.74506375,2724.146943,42.74506375
-1.34E-15,10.20150283,21.91099308,2724.146943,46.6011275,2724.146943,46.6011275
-1.24E-15,16.39977259,20.18277498,2724.146943,46.6011275,2724.146943,46.6011275
-1.22E-15,-15.96155769,19.90609202,2724.146943,46.6011275,2724.146943,46.6011275
-9.88E-16,-28.21157061,16.13551532,2724.146943,42.74506375,2724.146943,42.74506375
-9.88E-16,28.21157061,16.13551532,2724.146943,42.74506375,2724.146943,42.74506375
-9.83E-16,-8.140215161,16.0455997,2724.146943,46.6011275,2724.146943,46.6011275
-9.59E-16,-21.49749014,15.66038691,2724.146943,46.6011275,2724.146943,46.6011275
-9.37E-16,20.40169368,15.29705621,2724.146943,46.6011275,2724.146943,46.6011275
-9.00E-16,2.404242928,14.69320016,2724.146943,46.6011275,2724.146943,46.6011275
-8.40E-16,12.34453331,13.71533773,2724.146943,46.6011275,2724.146943,46.6011275
-6.97E-16,-15.91021684,11.38601204,2724.146943,46.6011275,2724.146943,46.6011275
-6.21E-16,24.83592518,10.13537279,2724.146943,46.6011275,2724.146943,46.6011275
-5.78E-16,-23.85571624,9.432704196,2724.146943,46.6011275,2724.146943,46.6011275
-5.34E-16,31.31028636,8.712856367,2724.146943,42.74506375,2724.146943,42.74506375
-5.34E-16,-31.31028636,8.712856367,2724.146943,42.74506375,2724.146943,42.74506375
-4.35E-16,18.31104077,7.108534509,2724.146943,46.6011275,2724.146943,46.6011275
-2.48E-16,25.3473477,4.054553875,2724.146943,46.6011275,2724.146943,46.6011275
-2.42E-16,-26.39978471,3.959698171,2724.146943,46.6011275,2724.146943,46.6011275
-2.30E-16,-19.22446849,3.754076773,2724.146943,46.6011275,2724.146943,46.6011275
-1.75E-16,-6.766435734,2.852448856,2724.146943,46.6011275,2724.146943,46.6011275
-1.50E-16,7.781335659,2.45702667,2724.146943,46.6011275,2724.146943,46.6011275
-3.66E-31,-32.5,5.97E-15,2724.146943,42.1941975,2724.146943,42.1941975
1.22E-31,32.5,-1.99E-15,2724.146943,42.1941975,2724.146943,42.1941975
7.02E-17,18.69450816,-1.146559629,2724.146943,46.6011275,2724.146943,46.6011275
1.57E-16,-25.06716956,-2.559588466,2724.146943,46.6011275,2724.146943,46.6011275
1.64E-16,26.01372824,-2.671066919,2724.146943,46.6011275,2724.146943,46.6011275
3.38E-16,-17.51473484,-5.524893467,2724.146943,46.6011275,2724.146943,46.6011275
5.34E-16,31.31028636,-8.712856367,2724.146943,42.74506375,2724.146943,42.74506375
5.34E-16,-31.31028636,-8.712856367,2724.146943,42.74506375,2724.146943,42.74506375
5.38E-16,22.72862403,-8.781519589,2724.146943,46.6011275,2724.146943,46.6011275
5.64E-16,1.858873569,-9.214056258,2724.146943,46.6011275,2724.146943,46.6011275
5.90E-16,-24.50749316,-9.636683453,2724.146943,46.6011275,2724.146943,46.6011275
6.07E-16,12.83373908,-9.907173921,2724.146943,46.6011275,2724.146943,46.6011275
7.23E-16,-9.522897186,-11.80516253,2724.146943,46.6011275,2724.146943,46.6011275
8.56E-16,-20.01537689,-13.98650986,2724.146943,46.6011275,2724.146943,46.6011275
9.55E-16,20.33555321,-15.60371553,2724.146943,46.6011275,2724.146943,46.6011275
9.88E-16,-28.21157061,-16.13551532,2724.146943,42.74506375,2724.146943,42.74506375
9.88E-16,28.21157061,-16.13551532,2724.146943,42.74506375,2724.146943,42.74506375
1.07E-15,6.670138172,-17.44130179,2724.146943,46.6011275,2724.146943,46.6011275
1.13E-15,-1.587834885,-18.49514274,2724.146943,46.6011275,2724.146943,46.6011275
1.19E-15,14.5358047,-19.50981106,2724.146943,46.6011275,2724.146943,46.6011275
1.24E-15,-15.87724212,-20.17085198,2724.146943,46.6011275,2724.146943,46.6011275
1.36E-15,-8.968986456,-22.2668699,2724.146943,46.6011275,2724.146943,46.6011275
1.41E-15,-22.98097039,-22.98097039,2724.146943,42.74506375,2724.146943,42.74506375
1.41E-15,22.98097039,-22.98097039,2724.146943,42.74506375,2724.146943,42.74506375
1.45E-15,9.508050423,-23.60151376,2724.146943,46.6011275,2724.146943,46.6011275
1.51E-15,3.281103961,-24.73138397,2724.146943,46.6011275,2724.146943,46.6011275
