% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 05:48"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2892.0269891771604,48.380266070848904,2892.0269891771604,48.380266070848904
10,0,0,1661.3356897963836,38.89042169826007,2887.2883721412263,48.353786409176564
20,0,0,1628.3534891234196,38.8890539722442,2882.5470643180515,48.338222323158504
30,0,0,1628.004969580676,38.88901317623066,2877.802902811728,48.329555536883106
40,0,0,1628.0019230926932,38.8889712060855,2873.0559468488,48.32646960629518
50,0,0,1628.0018925443312,38.88902467170857,2868.3061196437297,48.325042937877356
60,0,0,1628.0019388279156,38.889011007891895,2863.5533961898127,48.327107965183586
70,0,0,1628.0019435757763,38.88900305149866,2858.7977621823384,48.32709865518876
80,0,0,1628.0017958170438,38.88902913401671,2854.039205951681,48.32712040540929
90,0,0,1627.987554821669,38.88903567505156,2849.277712427773,48.325904779777545
100,0,0,1627.0942884714605,48.329999999999984,2844.513275271446,48.329999999999984
