% Model,manipulasi terusss.mph
% Version,COMSOL 5.3.1.201
% Date,"May 12 2020, 06:10"
% Dimension,3
% Nodes,11
% Expressions,4
% Description,"Pressure, Temperature"
% Length unit,m
% X,Y,Z,p (psi) @ t=0,T (degC) @ t=0,p (psi) @ t=77,T (degC) @ t=77
0,0,0,2676.9856653125603,48.366332334828314,2676.9856653125603,48.366332334828314
10,0,0,1654.8979326759818,38.89020613797476,2672.116781597647,48.34641820346451
20,0,0,1628.2853857321895,38.889054201915144,2667.2447699808886,48.33444639249325
30,0,0,1628.00438538707,38.88901319472939,2662.369458076229,48.32885278744851
40,0,0,1628.0019310473276,38.888971175012784,2657.4907849328797,48.328076461019236
50,0,0,1628.0019052012274,38.889024702416464,2652.608682808768,48.32904931585921
60,0,0,1628.001951803375,38.8890110218415,2647.7231341503602,48.329150847872995
70,0,0,1628.001956455114,38.889003057292825,2642.834144116919,48.328402626705724
80,0,0,1628.001795265372,38.88902916586039,2637.941700182592,48.32806402015626
90,0,0,1627.9862460909308,38.88903563684153,2633.045784042726,48.32761770735061
100,0,0,1627.012896117501,48.329999999999984,2628.146353902938,48.329999999999984
